Stock,Date,Price
Bajaj,10/16/2020,2976
Bajaj,10/19/2020,2988
Bajaj,10/20/2020,2975
Bajaj,10/21/2020,2953
Bajaj,10/22/2020,2936
Bajaj,10/23/2020,2915
Bajaj,10/26/2020,2851
Bajaj,10/27/2020,2833
Bajaj,10/28/2020,2823
Bajaj,10/29/2020,2811
Bajaj,10/30/2020,2787
Bajaj,11/2/2020,2851
Bajaj,11/3/2020,2871
Bajaj,11/4/2020,2909
Bajaj,11/5/2020,3028
Bajaj,11/6/2020,3140
Bajaj,11/9/2020,3141
Bajaj,11/10/2020,3343
Bajaj,11/11/2020,3475
Bajaj,11/12/2020,3512
Bajaj,11/13/2020,3629
Bajaj,11/14/2020,3664
Bajaj,11/17/2020,3682
Bajaj,11/18/2020,3889
Bajaj,11/19/2020,3911
Bajaj,11/20/2020,4268
Bajaj,11/23/2020,4387
Bajaj,11/24/2020,4430
Bajaj,11/25/2020,4362
Bajaj,11/26/2020,4409
Bajaj,11/27/2020,4378
Bajaj,12/1/2020,4370
Bajaj,12/2/2020,4402
Bajaj,12/3/2020,4556
Bajaj,12/4/2020,4524
Bajaj,12/7/2020,4524
Bajaj,12/8/2020,4484
Bajaj,12/9/2020,4504
Bajaj,12/10/2020,4513
Bajaj,12/11/2020,4499
Bajaj,12/14/2020,4465
Bajaj,12/15/2020,4651
Bajaj,12/16/2020,4629
Bajaj,12/17/2020,4645
Bajaj,12/18/2020,4606
Bajaj,12/21/2020,4424
Bajaj,12/22/2020,4469
Bajaj,12/23/2020,4505
Bajaj,12/24/2020,4496
Bajaj,12/28/2020,4498
Bajaj,12/29/2020,4489
Bajaj,12/30/2020,4480
Bajaj,12/31/2020,4452
Bajaj,1/1/2021,4437
Bajaj,1/4/2021,4451
Bajaj,1/5/2021,4410
Bajaj,1/6/2021,4392
Bajaj,1/7/2021,4494
Bajaj,1/8/2021,4585
Bajaj,1/11/2021,4497
Bajaj,1/12/2021,4483
Bajaj,1/13/2021,4396
Bajaj,1/14/2021,4374
Bajaj,1/15/2021,4316
Bajaj,1/18/2021,4177
Bajaj,1/19/2021,4461
Bajaj,1/20/2021,4469
Bajaj,1/21/2021,4524
Bajaj,1/22/2021,4537
Bajaj,1/25/2021,4603
Bajaj,1/27/2021,4563
Bajaj,1/28/2021,4476
Bajaj,1/29/2021,4360
Bajaj,2/1/2021,4850
Bajaj,2/2/2021,4737
Bajaj,2/3/2021,4766
Bajaj,2/4/2021,4859
Bajaj,2/5/2021,4859
Bajaj,2/8/2021,5016
Bajaj,2/9/2021,4970
Bajaj,2/10/2021,5117
Bajaj,2/11/2021,5107
Bajaj,2/12/2021,5137
Bajaj,2/15/2021,5270
Bajaj,2/16/2021,5229
Bajaj,2/17/2021,5092
Bajaj,2/18/2021,5099
Bajaj,2/19/2021,5126
Bajaj,2/22/2021,5000
Bajaj,2/23/2021,5000
Bajaj,2/24/2021,5109
Bajaj,2/25/2021,5132
Bajaj,2/26/2021,4826
Bajaj,3/1/2021,4886
Bajaj,3/2/2021,4938
Bajaj,3/3/2021,5193
Bajaj,3/4/2021,5064
Bajaj,3/5/2021,4976
